phylum	class	order	family	species
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion decipiens
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion equestre
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion etruscum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion fulvum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion gashtarovi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion holosericeum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion kozanii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion lineatocolle
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion litigiosum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion lugubre
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion mniszechi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion murrayi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion nobile
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion oezdurali
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion pedestre
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion phrygicum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion pilosipenne
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion pusillum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion regulare
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion scabricolle
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion scopoli
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion scopolii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion septemlineatum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion tauricum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion tuleskovi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion yilmazi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Eburia decemmaculata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Ergates faber
Arthropoda	Insecta	Coleoptera	Cerambycidae	Etorofus pubescens
Arthropoda	Insecta	Coleoptera	Cerambycidae	Eumecocera impustulata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Euracmaeops marginatus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Euracmaeops septentrionis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Eutetrapha metallescens
Arthropoda	Insecta	Coleoptera	Cerambycidae	Eutetrapha sedecimpunctata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Evodinus borealis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Evodinus clathratus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Exocentrus adspersus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Exocentrus lusitanus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Exocentrus punctipennis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Fallacia elegans
Arthropoda	Insecta	Coleoptera	Cerambycidae	Gaurotes ussuriensis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Gaurotes virginea
Arthropoda	Insecta	Coleoptera	Cerambycidae	Gnathacmaeops pratensis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Gracilia minuta
Arthropoda	Insecta	Coleoptera	Cerambycidae	Grammoptera abdominalis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Grammoptera ruficornis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Grammoptera ustulata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Herophila tristis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Hesperophanes sericeus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Hylotrupes bajulus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Hypsioma grisea
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion abulense
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion aguadoi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion albicans
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion albicans ssp. demandense
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion amorii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion aries
